iter	Passed	Remaining
940	2584	162
941	2587	159
942	2589	156
943	2592	153
944	2594	151
945	2597	148
946	2599	145
947	2602	142
948	2604	139
949	2607	137
950	2609	134
951	2612	131
952	2614	128
953	2617	126
954	2619	123
955	2622	120
956	2624	117
957	2627	115
958	2629	112
959	2632	109
960	2634	106
961	2637	104
962	2639	101
963	2642	98
964	2645	95
965	2648	93
966	2650	90
967	2653	87
968	2656	84
969	2662	82
970	2665	79
971	2668	76
972	2670	74
973	2673	71
974	2675	68
975	2678	65
976	2680	63
977	2683	60
978	2685	57
979	2688	54
980	2690	52
981	2693	49
982	2695	46
983	2698	43
984	2700	41
985	2703	38
986	2705	35
987	2708	32
988	2710	30
989	2712	27
990	2715	24
991	2717	21
992	2720	19
993	2722	16
994	2725	13
995	2727	10
996	2730	8
997	2732	5
998	2735	2
999	2737	0
